registered_charity_number,charity_name,income_donations_and_legacies,income,expenditure
1141259,THE MASTER AND FELLOWS OF THE COLLEGE OF THE GREAT HALL OF THE UNIVERSITY COMMONLY CALLED UNIVERSITY COLLEGE IN THE UNIVERSITY OF OXFORD,9930000,21901000,15554000
210760,"THE SOLDIERS, SAILORS, AIRMEN AND FAMILIES ASSOCIATION - FORCES HELP",9915000,34479000,32887000
307992,NORWOOD SCHOOLS LTD,9884000,31013000,30125000
1050327,"THE LEPROSY MISSION ENGLAND, WALES, THE CHANNEL ISLANDS AND THE ISLE OF MAN",9857693,9989434,7680630
1044071,BRITISH UNION CONFERENCE OF SEVENTH-DAY ADVENTISTS,9794069,15500086,12415680
326730,Asthma and Lung UK,9787000,20089000,10791000
1165398,UNIVERSITY COLLEGE LONDON HOSPITALS CHARITY,9774000,21938000,22669000
250275,THE UNITED KINGDOM ISLAMIC MISSION,9760819,10249220,7525517
1122062,BAUER RADIO'S CASH FOR KIDS CHARITIES,9733911,12938461,12020239
1156200,ONE NATION,9690306,9690306,9110470
1146420,ABF THE SOLDIERS' CHARITY,9687837,14777335,18113990
1126075,FRIENDS OF MERCAZ HATORAH BELZ MACNIVKA,9683832,9683832,9723152
288467,DUCHESNE TRUST,9654455,10718232,6142199
1174882,CHURCH REVITALISATION TRUST,9613896,9636113,7203250
1110114,DAWAT-E-ISLAMI UK,9611670,9614207,8967536
1059050,NORWOOD RAVENSWOOD,9603000,31234000,33169000
252878,ARUNDEL AND BRIGHTON DIOCESAN TRUST,9594000,13870000,14272000
1141565,BANGOR UNIVERSITY,9591000,147696000,136620000
1132208,THE METHODIST CHURCH IN GREAT BRITAIN,9558000,44364000,44353000
209015,THE SOCIETY FOR THE PROTECTION OF ANIMALS ABROAD,9539168,10017387,7960014
287610,PREMIER CHRISTIAN MEDIA TRUST,9519263,13969664,13878265
1008196,OPERATION MOBILISATION,9494558,10004757,9293455
1144606,ST. JAMES'S PLACE CHARITABLE FOUNDATION,9480869,9541146,11175305
1061012,BIRMINGHAM ROYAL BALLET,9465680,15488313,15560200
1045501,NORTH ENGLAND CONFERENCE OF SEVENTH-DAY ADVENTISTS,9423657,9604148,9988822
299128,UNITED CHRISTIAN BROADCASTERS LIMITED,9391020,9577272,7445590
1092236,CONCERN WORLDWIDE (UK),9390171,34468633,33685242
802047,RONALD MCDONALD HOUSE CHARITIES (UK),9363000,11581000,9686000
1107385,DEPAUL INTERNATIONAL,9344000,44206000,41678000
234092,BRENTWOOD ROMAN CATHOLIC DIOCESAN TRUST,9332591,12691776,12845608
1126283,THE NATIONAL MUSEUM OF THE ROYAL NAVY,9313000,18730000,18685000
700520,SHEFFIELD CITY TRUST,9290000,40184000,41710000
248287,THE DURHAM DIOCESAN BOARD OF FINANCE,9262861,12253197,10322816
1173961,THE COMMUNITY OF ST JOHN BAPTIST GENERAL PURPOSES CIO,9250706,9599584,1075184
293358,HEARING DOGS FOR DEAF PEOPLE,9199195,10392467,9854791
209691,BRITISH FRIENDS OF THE HEBREW UNIVERSITY OF JERUSALEM,9184631,9808882,9510303
803716,ANTHONY NOLAN,9140000,55389000,55260000
1130866,"THE PAROCHIAL CHURCH COUNCIL OF THE ECCLESIASTICAL PARISH OF ST MICHAEL LE BELFREY WITH ST CUTHBERT, YORK",9136653,9247848,1225695
1140898,BRISTOL MUSIC TRUST,9135728,11171572,10108753
266120,THE PORTRACK CHARITABLE TRUST,9111284,9298097,940365
801130,THE MENTAL HEALTH FOUNDATION,9007173,12606124,6501247
218186,LEONARD CHESHIRE DISABILITY,9006000,151631000,166333000
1091263,THE LONDON COMMUNITY FOUNDATION,8966000,10064000,10405000
1058162,CHRISTIAN BLIND MISSION (UNITED KINGDOM) LIMITED,8908455,8980039,9426497
1098874,THE AIR AMBULANCE SERVICE,8900000,25375000,23229000
1137542,THE COLLEGE OF ST MARY MAGDALENE IN THE UNIVERSITY OF CAMBRIDGE,8870149,19749366,10310010
1147994,THE TRUELL CONSERVATION FOUNDATION,8808641,8858219,228471
249318,THE NORWICH DIOCESAN BOARD OF FINANCE LIMITED,8757000,12287000,12315000
1053055,MERCY SHIPS - U.K LTD,8742017,8762860,8407081
1068911,REDWINGS HORSE SANCTUARY,8730678,10320546,12291444
1001957,We Are With You,8654000,63524000,63681000
1039651,DEMELZA HOUSE CHILDRENS HOSPICE,8605693,16682435,11628274
1076235,BBC MEDIA ACTION,8601000,40809000,41714000
1138145,THE ROTHSCHILD FOUNDATION,8594000,46338675,38432192
284934,GREENPEACE ENVIRONMENTAL TRUST,8570766,10609674,10591940
250851,"NATIONAL SPIRITUAL ASSEMBLY OF THE BAHA'IS OF THE UNITED KINGDOM",8489041,9001382,7388146
1102909,THE CLIMATE CHANGE ORGANISATION,8459137,11353534,9571138
1105998,KKL CHARITY ACCOUNTS,8446415,8770829,8506394
1116598,TCHABE KOLLEL LIMITED,8445562,8445562,8315324
1183697,CLEAN AIR FUND,8393269,8454720,5579527
1142111,THE EDUCATION ENDOWMENT FOUNDATION,8380674,8949067,21117869
1130306,ELLEN MACARTHUR FOUNDATION,8281000,12510000,11574000
1168973,THE NORMANDY MEMORIAL TRUST LTD,8209179,8215621,311255
245861,SHEFFIELD DIOCESAN BOARD OF FINANCE,8196283,9559069,9705991
232709,LIVERPOOL ROMAN CATHOLIC ARCHDIOCESAN TRUST,8157055,20412569,28027228
250840,MACINTYRE CARE,8134000,69077000,62732000
1093070,THE EDEN TRUST,8131000,32987000,32959000
1078808,THE CALLEVA FOUNDATION,8125000,8188639,8494653
1112477,ASSER BISHVIL FOUNDATION,8117567,8345447,8360529
210667,ST CHRISTOPHERS HOSPICE,8098000,22850000,22887000
1123916,PRINCETON CHARITABLE FOUNDATION LIMITED,8080779,8080798,7258640
1134421,WORLD MISSION AGENCY - WINNERS CHAPEL INTERNATIONAL,8080220,8938724,9753240
1003314,CHILDREN'S HOSPICE SOUTH WEST,8035093,15773061,15083201
1160490,ISLAMIC HELP,8032859,8467477,8268160
1000739,WORLD CANCER RESEARCH FUND,8015701,8865663,8813912
1134449,NOTTINGHAM ROMAN CATHOLIC DIOCESAN TRUSTEES,8003000,10483000,11466000
293072,THE OXFORD CENTRE FOR  ISLAMIC STUDIES,7984730,9919205,4638589
1060078,UNITED JEWISH ISRAEL APPEAL,7980740,8213844,8523670
1159699,ACCESS - THE FOUNDATION FOR SOCIAL INVESTMENT,7971000,9568000,8884000
1185618,UK CENTRE FOR ECOLOGY & HYDROLOGY,7942000,62076000,50722000
1083876,EAST ANGLIAN AIR AMBULANCE,7920787,14834608,13021358
250306,NEW TESTAMENT CHURCH OF GOD,7885722,8823511,8013789
1114748,THE SMILE TRAIN UK,7884782,7910444,7309581
281681,FRIENDS OF THE EARTH CHARITABLE TRUST,7876822,10124959,9758050
1159415,ERICA LAWSON CHARITABLE TRUST,7852597,7876922,240846
1143450,DIOCESE OF HEXHAM AND NEWCASTLE,7798757,11569057,12267756
297540,THE VIRGIN FOUNDATION,7785000,7785000,14094000
206002,COMBAT STRESS,7784000,10244000,14606000
1174364,THE BAPTIST MISSIONARY SOCIETY,7782000,8496000,8299000
242452,THE LLANDAFF DIOCESAN BOARD OF FINANCE,7766984,8734178,9074405
1084361,KENT COMMUNITY FOUNDATION,7765643,8669116,4518496
251234,THE GLOUCESTER DIOCESAN BOARD OF FINANCE,7761000,10902000,11785000
249359,SOUTHWELL AND NOTTINGHAM DIOCESAN BOARD OF FINANCE,7731000,10932000,10396000
1084305,YORKSHIRE AIR AMBULANCE LIMITED,7727452,8305879,5048209
700510,COMMUNITY FOUNDATION SERVING TYNE & WEAR AND NORTHUMBERLAND,7695759,12691662,8118615
1139261,LINCOLN COLLEGE OXFORD,7690000,15404000,11486000
248919,ST EDMUNDSBURY AND IPSWICH DIOCESAN BOARD OF FINANCE,7671000,9256000,9214000
1082139,THOMSON REUTERS FOUNDATION,7661000,12602000,11391000
1053992,ST VINCENT DE PAUL SOCIETY (ENGLAND AND WALES),7631557,13986541,11000148
1180943,THE GREGYNOG TRUST,7623730,8297924,838229
1142898,THE ALEXANDER MOSLEY CHARITABLE TRUST,7619973,7982592,14451926
1015988,ROYAL VOLUNTARY SERVICE,7605000,53751000,58914000
249404,LEEDS DIOCESAN TRUST,7579000,11304000,11888000
256789,ST. BARNABAS HOSPICES (SUSSEX) LTD,7551000,16995000,20196000
1017501,THE LINCOLNSHIRE AND NOTTINGHAMSHIRE AIR AMBULANCE CHARITABLE TRUST,7547236,11779332,6375271
1022119,Havens Hospices,7544000,14751000,10539000
1078584,MORESHET HATORAH LTD,7517460,7572030,7561471
294807,DAWAT-E-HADIYAH TRUST (UNITED KINGDOM),7510175,8699706,4826042
1113061,THE GENERATION FOUNDATION,7490034,7524322,11703992
1176221,JACK PETCHEY FOUNDATION,7486213,7491980,6789014
1133295,CORNWALL AIR AMBULANCE TRUST,7457774,8230644,4444203
208728,THE ZOOLOGICAL SOCIETY OF LONDON,7454000,66865000,71068000
313121,AHAVATH CHESSED CHARITABLE ASSOCIATION LIMITED,7448546,7450867,6081549
1137456,THE MASTER FELLOWS AND SCHOLARS OF EMMANUEL COLLEGE IN THE UNIVERSITY OF CAMBRIDGE,7447050,20928017,14216726
1136729,KING'S COLLEGE LONDON STUDENTS' UNION,7368818,9977248,10234478
1128090,THE OUTWARD BOUND TRUST,7357981,13192942,13605997
306077,THE NORTH OF ENGLAND ZOOLOGICAL SOCIETY,7349000,36095000,36006000
310033,"THE KEEPERS AND GOVERNORS OF THE POSSESSIONS, REVENUES AND GOODS OF THE FREE GRAMMAR SCHOOL OF JOHN LYON, WITHIN THE TOWN OF HARROW-ON-THE-HILL",7340000,60409000,54752000
266780,THE ARCHITECTURAL HERITAGE FUND,7336659,7948034,5896677
1151066,JEWISH FUTURES TRUST LIMITED,7311329,9422655,7639546
250569,THE PETERBOROUGH DIOCESAN BOARD OF FINANCE,7309117,9795913,9773387
296097,THE HARROW DEVELOPMENT TRUST,7286267,7296801,7880494
1152262,IMPETUS - THE PRIVATE EQUITY FOUNDATION,7260214,13146580,24938564
1140972,UK TOREMET LIMITED,7242051,7317441,7132004
1140351,THE ENGLISH HERITAGE TRUST,7230000,126946000,121337000
1083645,WELSH AIR AMBULANCE CHARITABLE TRUST,7230000,14516000,11048000
209174,"NATIONAL ART COLLECTIONS FUND",7220000,14470000,18067000
1168427,POLICE NOW,7200000,13322368,10167706
249256,PORTSMOUTH DIOCESAN BOARD OF FINANCE,7175124,9772687,8541471
1161516,LEMPRIERE PRINGLE 2015,7174478,21600381,23809467
1173124,C40 CITIES CLIMATE LEADERSHIP,7160199,7164140,8230428
1060508,TOMMY'S,7130679,8071901,9003758
1118525,INTOUNI,7120985,7556625,7196130
1069284,EAST ANGLIA'S CHILDREN'S HOSPICES,7117016,15267296,13431192
1176848,SASC TRUST,7100000,7113179,30690
1098294,TEACH FIRST,7091000,56526000,56433000
245456,THE ELY DIOCESAN BOARD OF FINANCE,7040000,10292000,10750000
251233,WYCLIFFE UK LIMITED,7036536,7185126,7828354
1143525,Y COLEG CYMRAEG CENEDLAETHOL,7027000,7118000,6733000
1170583,THE FYRISH FOUNDATION,7000000,7654237,787026
1185591,SUSTAINABILITY. HEALTH. ENVIRONMENT. DEVELOPMENT.,7000000,7001078,2476961
1136612,LIFE GENERATION LIMITED,6990907,7183647,2444669
1137455,DOWNING COLLEGE IN THE UNIVERSITY OF CAMBRIDGE,6989777,17081994,12699330
1185768,BALQEES WELFARE FOUNDATION,6962442,6962442,4669165
249100,THE LEICESTER DIOCESAN BOARD OF FINANCE,6954000,9639000,12104000
216726,THE BRITISH ACADEMY OF FILM AND TELEVISION ARTS,6947000,17737000,11737000
1135477,UNITED REFORMED CHURCH THAMES NORTH SYNOD CHARITIES,6938000,8134000,1641000
1015408,EDHI INTERNATIONAL FOUNDATION UK,6932991,7438422,2225821
1152401,LEGACY LEISURE LIMITED,6927975,25536977,25725855
1138223,MEDICAL RESEARCH FOUNDATION,6886400,9227701,5822579
254543,THE CORPORATION OF THE HALL OF ARTS AND SCIENCES,6854000,16022000,26699000
1160316,GUY'S AND ST THOMAS' FOUNDATION,6841000,26634000,43255000
309093,THE WELLINGTON COLLEGE,6797000,64365000,57052000
1001291,WORLD LAND TRUST,6780000,7122000,6317000
231239,ST DAVIDS DIOCESAN BOARD OF FINANCE,6774398,7343181,7563268
506120,LEICESTERSHIRE & RUTLAND ORGANISATION FOR THE RELIEF OF SUFFERING LIMITED,6761965,13899100,15697770
237902,THE NATIONAL ARMY MUSEUM,6750000,7448000,7413000
1178335,DELTA PHILANTHROPIES,6747289,6747289,5094881
280276,HOSPICE IN THE WEALD,6721979,11574919,10192424
313690,THE UNITED WORLD COLLEGES (INTERNATIONAL),6716000,6913000,5770000
1102881,VILLA SCALABRINI,6715827,8727937,1955970
223882,HALLE CONCERTS SOCIETY,6710000,11673000,9684000
1118490,THE HEARN FOUNDATION,6701836,6704413,377410
1136917,BRITISH FRIENDS OF EZRAT YISRAEL KIRYAT SEFER,6701000,6701017,6775681
1146244,THE SUTTON TRUST,6669917,6698890,5217472
1126281,HUMAN RELIEF FOUNDATION,6669618,9499696,8415314
1045315,MEDICAL AID FOR PALESTINIANS,6666000,10045000,9378000
295818,CHEVRAS MO'OZ LADOL,6653686,6653778,6658364
271297,THE LEGAL EDUCATION FOUNDATION,6645000,10298000,7503000
1103836,THE DAVID SHELDRICK WILDLIFE TRUST,6620945,6700180,6248432
1181128,National Philanthropic Trust UK Limited,6596525,6613157,881015
1093387,FIRE FIGHTERS CHARITY,6591410,9970336,9953459
247778,WORCESTER DIOCESAN BOARD OF FINANCE LIMITED,6582000,8887000,8411000
1025387,BADER INTERNATIONAL STUDY CENTRE,6564057,10741048,5595998
206658,WORLD HORSE WELFARE,6563000,7356000,8046000
1131655,CHURCH MISSION SOCIETY,6542000,8358000,7448000
1085314,TATE FOUNDATION,6541445,6574490,5966299
1010930,PRINCESS ALICE HOSPICE,6525807,17932275,17178323
250037,THE SALFORD DIOCESAN TRUST,6506622,12365941,17284738
1176782,THE ELMA FOUNDATION (UK),6500000,6516795,3378074
1181260,THE PRESENT VALUE TRUST,6500000,6503587,6247
233140,THE ST ASAPH DIOCESAN BOARD OF FINANCE,6479423,8572903,6883557
1112708,PANCREATIC CANCER UK,6448299,6506230,6033754
247233,THE NEWCASTLE DIOCESAN BOARD OF FINANCE,6446635,7431074,7008087
1179712,MANCHESTER YOUTH ZONE - EAST,6435830,6436453,129080
1165672,THE ROYAL FREE CHARITY,6410000,9496000,7916000
1146792,CANAL & RIVER TRUST,6400000,216100000,232800000
1140679,MOORFIELDS EYE CHARITY,6395000,6724000,8259000
1061352,ORBIS CHARITABLE TRUST,6394114,6413064,5664587
288180,HELPAGE INTERNATIONAL,6386000,20729000,21270000
1137540,CHRIST'S COLLEGE CAMBRIDGE IN THE UNIVERSITY OF CAMBRIDGE FIRST FOUNDED BY KING HENRY VI OF ENGLAND AND AFTER HIS DEATH,6377697,16420518,10932470
1112655,OM International,6356146,6730482,5084588
247828,THE COVENTRY DIOCESAN BOARD OF FINANCE LTD,6331000,10151000,9173000
1126097,HOPE FOR JUSTICE,6305089,6755546,6410695
249767,THE DERBY DIOCESAN BOARD OF FINANCE LIMITED,6300096,9918799,8943416
1091660,THE ALBORADA TRUST,6300000,6325988,2912281
1161153,ASSOCIATION OF AIR AMBULANCES (CHARITY) LTD,6296452,6518915,6323109
297798,HOSPISCARE,6287731,12660789,10604487
210119,THE ROYAL STAR & GARTER HOMES,6286000,19232000,23542000
290767,THE CENTRAL BRITISH FUND FOR WORLD JEWISH RELIEF,6278472,6310285,7080387
1186843,THE CORTON HILL TRUST,6254200,6808408,582437
1094646,NORTHAMPTONSHIRE COMMUNITY FOUNDATION,6247609,7101430,1678558
255424,ROYAL EXCHANGE THEATRE COMPANY LIMITED,6247000,9710000,10503000
1062762,GREENHAM TRUST LTD,6239400,15660628,7694741
1137495,THE QUEENS' COLLEGE OF SAINT MARGARET AND SAINT BERNARD IN THE UNIVERSITY OF CAMBRIDGE,6238843,19439906,15499511
803392,HAMPSTEAD HEATH,6236939,9628345,9851312
1141206,STELIOS PHILANTHROPIC FOUNDATION,6217377,6230203,3682080
1015324,SCREENSKILLS LIMITED,6209913,13215613,11846933
275913,SAINT FRANCIS HOSPICE,6201000,12291000,11111000
1087445,NORTH MUSIC TRUST,6192927,15958128,14741359
236627,THE CHURCH OF ENGLAND PENSIONS BOARD,6172000,29078000,29683000
700859,ACORNS CHILDREN'S HOSPICE TRUST,6165000,17699000,15609000
1156644,THE FIELDROSE CHARITABLE TRUST,6162627,6408769,292817
298809,THE SERPENTINE TRUST,6162264,12205701,10504426
1117345,HEART OF ENGLAND COMMUNITY FOUNDATION,6148170,6610128,5884847
1139527,ST. JOHN OF JERUSALEM EYE HOSPITAL GROUP,6146000,10708000,10476000
276976,THE RANK FOUNDATION LIMITED,6138000,7507000,10551000
1088366,SYRACUSE UNIVERSITY (USA) LONDON PROGRAM,6136838,6172732,5872429
1166966,CASE COMMUNITY TRUST,6131991,6425144,342076
232391,THE LONDON SYMPHONY ORCHESTRA LIMITED,6117000,16609000,16746000
288509,THE COURTAULD INSTITUTE OF ART FUND,6110716,6111271,6111271
234091,NORTHAMPTON ROMAN CATHOLIC DIOCESAN TRUST,6104937,9166425,9422660
1180132,The Family Trust,6100000,6100000,0
1157294,THE OKAPI FUND FOR NATURE CONSERVATION IN THE DEMOCRATIC REPUBLIC OF CONGO,6088214,6230850,658929
225910,JNF CHARITABLE TRUST,6088000,15411000,6781000
205913,ACTION FOR BLIND PEOPLE,6073000,6073000,6073000
264501,PHYLLIS TUCKWELL MEMORIAL HOSPICE LTD,6071614,11998033,11830653
1062400,THE DORSET NATURAL HISTORY AND ARCHAEOLOGICAL SOCIETY,6062997,6099442,968334
1148237,HISTORIC COVENTRY TRUST,6048127,6048127,5594812
1108298,THAMES HOSPICE,6046000,12627000,10398000
1111364,LAUREUS SPORT FOR GOOD FOUNDATION,6009384,6009384,5779087
252892,KIDNEY RESEARCH UK,6006000,9949000,9967000
1179578,BRITISH GAS ENERGY TRUST,6005400,6237527,5781911
1042391,COMMUNITY SECURITY TRUST,5995613,20528501,21161719
207316,NIGHTINGALE HAMMERSON,5957000,16983000,14772000
1139726,WADHAM COLLEGE,5912000,14914000,12313000
1092312,THEIRWORLD,5909196,8567824,5869182
1134606,THE RCN FOUNDATION,5909000,6722000,5718000
295672,MAKE-A-WISH FOUNDATION UK,5905128,8411745,8416379
312714,LATYMER FOUNDATION AT HAMMERSMITH,5893000,32748000,28089000
1093577,THE RAMBLERS' ASSOCIATION,5890000,11958000,10836000
1175323,YMCA TRUST,5888567,6007299,45285
1123973,OMF INTERNATIONAL (UK),5867918,5938267,6572593
271731,PEABODY COMMUNITY FOUNDATION,5865073,8558277,8493716
1123975,THE CHURCH OF PENTECOST - UK,5861771,6009411,4943176
801013,LONDON'S AIR AMBULANCE LIMITED,5846723,13608076,10525658
1183415,United Kingdom for UNHCR,5844005,5844005,5547180
253206,THE GENERAL CONFERENCE OF THE NEW CHURCH,5838474,6791181,984951
1127366,THE BRITISH ASIAN TRUST,5834030,5834030,5402674
210065,ESSEX WILDLIFE TRUST LIMITED,5827992,10040194,7399306
1107561,BRADFORD TRIDENT LIMITED,5795676,6868573,6622752
213227,PLYMOUTH DIOCESAN TRUST,5791000,7957000,6896000
1175061,THE PERMIRA FOUNDATION,5786958,5786958,6196640
1179736,LUCILLE FOUNDATION,5776000,5777660,2954753
274100,THE CLOTHWORKERS' FOUNDATION,5775947,9285225,10037899
230165,SOCIETY OF JESUS TRUST OF 1929 FOR ROMAN CATHOLIC PURPOSES,5775000,29129000,33497000
528413,SHREWSBURY SCHOOL,5766183,34235939,27930778
1113409,MAGEN DAVID ADOM UK,5751840,5760118,7093508
1102114,KINGSWAY INTERNATIONAL CHRISTIAN CENTRE,5742339,6697927,8158813
212481,"THE ROYAL SHAKESPEARE COMPANY, STRATFORD-UPON-AVON",5729000,72061000,76243000
1125537,PEOPLE'S HEALTH TRUST,5725722,5924673,5204394
284789,THE APOSTOLIC CHURCH,5712681,6195024,5495040
1044940,SHEFFIELD FUTURES,5708129,5708129,5780151
249424,MANCHESTER DIOCESAN BOARD OF FINANCE,5707000,15786000,15062000
1072490,THE DUKE OF EDINBURGH'S AWARD,5707000,18332000,17036000
1064144,THE VEOLIA ENVIRONMENTAL TRUST,5706000,5820000,5243000
226686,THE ROYAL AIR FORCES ASSOCIATION - CORPORATE BODY,5703000,13922000,17240000
205395,MUSCULAR DYSTROPHY GROUP OF GREAT BRITAIN AND NORTHERN IRELAND,5702527,6201343,6349794
516898,YORKSHIRE CANCER RESEARCH,5677878,18716737,10361561
1004058,CLAIRE HOUSE,5669844,10024771,9015497
1178046,THE GREENSLADE FAMILY FOUNDATION,5652592,5661870,103015
1119619,ST PAUL'S SCHOOL,5652000,40533000,36630000
312008,THE LONDON ORPHAN ASYLUM (REED'S SCHOOL),5652000,23948000,18494000
1122489,THE PENNIES FOUNDATION,5649090,5651334,6153651
1143714,CORPUS CHRISTI COLLEGE OXFORD,5648000,11298000,10111000
1117794,THE ROYAL NAVY AND ROYAL MARINES CHARITY,5643152,11383716,18035605
1109453,SUFFOLK COMMUNITY FOUNDATION,5640718,6214331,5699036
1110621,CAMPAIGN AGAINST LIVING MISERABLY,5639795,5693078,3950609
1134680,THE CINNAMON TRUST,5634416,6295367,3359989
1175670,MENTAL HEALTH INNOVATIONS,5621250,5975126,5366559
328081,THE BARBOUR FOUNDATION,5620786,6288766,2585179
1142404,UCLU,5603622,10096213,10637471
1136737,AUTISM RESEARCH TRUST,5601235,5622191,401040
245700,THE ARMY CENTRAL FUND,5596398,8127153,5591046
1029450,A M QATTAN FOUNDATION,5586916,5875422,7785059
1153735,SKT WELFARE,5549250,5553364,5461105
212424,"RSA (THE ROYAL SOCIETY FOR THE ENCOURAGEMENT OF ARTS, MANUFACTURES AND COMMERCE)",5541000,12123000,13206000
1042495,Shooting Star Children's Hospices,5539234,11090612,10729290
238045,LONDON PHILHARMONIC ORCHESTRA LIMITED,5535985,8977277,7736092
1139000,THE WARDEN AND SCHOLARS OF ST MARY COLLEGE OF WINCHESTER,5530000,34685000,31742000
309268,THE ROYAL COLLEGE OF MUSIC,5526095,29018594,27389432
1145181,CARERS TRUST,5517417,6002835,5755003
1084910,THAMES VALLEY AIR AMBULANCE,5515069,9713431,9020321
1094586,THE DRINKAWARE TRUST,5513421,6022497,4708691
802725,THE HORNIMAN PUBLIC MUSEUM AND PUBLIC PARK TRUST,5504178,7478762,7766529
251977,CARLISLE DIOCESAN BOARD OF FINANCE,5497239,8750645,8079893
1135156,TREE AID,5449790,5475390,5244968
312695,THE CENTRAL FOUNDATION SCHOOLS OF LONDON,5430000,6546000,2309000
1077998,DEVON AIR AMBULANCE TRUST,5419000,8449000,9880000
1097231,THE GOODMAN FOUNDATION,5397659,8283601,947637
1099506,MONEY ADVICE TRUST,5389600,14825720,12753660
232990,EPPING FOREST,5388109,6584647,7140881
259649,INTERNATIONAL SOCIETY FOR KRISHNA CONSCIOUSNESS LIMITED,5381920,8752340,7776886
306983,THE GIRLS' DAY SCHOOL TRUST,5372000,263033000,254784000
515104,EAST CHESHIRE HOSPICE,5367760,6533741,4962854
280825,HOSPICE OF ST FRANCIS (BERKHAMSTED) LTD,5362000,9002000,6751000
1059951,HELP THE NEEDY CHARITABLE TRUST,5350578,5350755,6187209
1096538,VIRIDOR CREDITS ENVIRONMENTAL COMPANY,5331383,5376841,5519652
1163245,THE ROYAL MASONIC BENEVOLENT INSTITUTION CARE COMPANY,5316000,52193000,57995000
313838,THE PAUL MELLON CENTRE FOR STUDIES IN BRITISH ART,5306259,6479089,5276431
1081467,THE MESSAGE TRUST,5305286,5982036,6108888
313109,JEWISH SECONDARY SCHOOLS MOVEMENT,5296207,5336081,4416346
1053028,THE HALL FOR CORNWALL TRUST,5285735,6390967,1018949
206787,THE WHITE ENSIGN ASSOCIATION LIMITED,5279402,5424879,717412
1121101,REACH TO TEACH,5266169,5311242,5088231
1095850,ERNEST HECHT CHARITABLE FOUNDATION,5253040,5272905,2713406
803428,"THE FOUNDATION AND FRIENDS OF THE ROYAL BOTANIC GARDENS,KEW",5252000,5575000,7950000
1014851,HOSPICE UK,5251000,6376000,6450000
249355,THE LINCOLN DIOCESAN TRUST AND BOARD OF FINANCE LTD,5245000,9200000,12020000
504481,THE BLACK COUNTRY LIVING MUSEUM TRUST,5188521,11995561,7153188
232402,THE CAMPHILL VILLAGE TRUST LIMITED,5164000,26444000,25783000
515755,HUMANKIND CHARITY,5153245,50192880,45759581
1113125,ST JOSEPH'S HOSPICE HACKNEY,5144000,15078000,13378000
1132689,THE FOOTBALL LEAGUE (COMMUNITY) LIMITED,5133526,18573352,19340689
1110817,NORFOLK COMMUNITY FOUNDATION,5127000,5801000,4304000
1038483,SISTERS OF THE CROSS AND PASSION,5124384,15501415,16903257
1156363,FOUNDATION FOR INTEGRATED TRANSPORT,5122678,5197362,526364
313512,INTERNATIONAL STUDENTS HOUSE,5122000,9773000,7570000
1142553,"THE QUEEN'S COLLEGE, OXFORD",5118000,16069000,13353000
1102510,MAGIC BREAKFAST,5109171,5742820,4818735
1136839,LIFELINES INTERNATIONAL FUND FOR EDUCATION,5100000,5100000,59881
