registered_charity_number,charity_name,income_donations_and_legacies,income,expenditure
1075641,NORTH WEST AIR AMBULANCE,5070450,12021518,9892730
1040378,FORDHAM UNIVERSITY UK CHARITABLE TRUST,5064363,5092882,5208868
1122777,AMUD HATZDOKOH TRUST,5060953,5065085,4921617
1092892,HOLOCAUST EDUCATIONAL TRUST,5052241,6564079,5561328
249748,BRIGHTON DOME AND FESTIVAL LTD,5046386,12696423,12451442
234556,ECHOES OF SERVICE,5018511,5252436,6279218
1173851,ECHOES INTERNATIONAL,5018511,5252436,6279218
1166112,THE BLOOM FOUNDATION,5012481,5079535,4493903
1047432,THE AMAR INTERNATIONAL CHARITABLE FOUNDATION,5011868,5070312,4938098
1146913,THE POLICE REHABILITATION CENTRE,5006600,5497157,5363516
278742,EAST ANGLIA ROMAN CATHOLIC DIOCESAN TRUST,5006275,6079596,6060683
1175685,PEGASUS,5000000,5000595,65774
1184952,THE MARJORIE JAYE CHARITABLE FOUNDATION,5000000,5033444,15806
1189119,COVID-19 HEALTHCARE SUPPORT APPEAL,4996246,4996246,3247199
259140,NORTHERN BALLET LIMITED,4979262,8413162,10187870
288527,THE TERRENCE HIGGINS TRUST,4958000,12009000,12243000
1170103,ADDENBROOKE'S CHARITABLE TRUST,4955000,7267000,7612000
1182567,CARETECH CHARITABLE FOUNDATION,4953823,4953823,659537
1086806,THE WIGODER FAMILY FOUNDATION,4953000,7282554,504118
1066905,CARE FOR THE FAMILY,4940967,5037308,3832299
1102712,ROYAL OSTEOPOROSIS SOCIETY,4937828,5401708,3735782
1182876,CREATIVE LAND TRUST,4928539,4928753,436764
1075601,BRANSBY HORSES,4922002,6886142,6227607
1113868,HAND IN HAND INTERNATIONAL,4918946,4927936,4537102
800630,THE DESIGN MUSEUM,4917964,13205329,11779293
1075120,CUMBRIA COMMUNITY FOUNDATION,4912013,8469873,2527107
1072590,THE OLD VIC THEATRE TRUST 2000,4903325,15780809,12443421
266916,THE SHAKESPEARE GLOBE TRUST,4903000,11212000,16829000
1147449,THE POLICE TREATMENT CENTRES,4896140,6120895,4724189
285300,NORTH LONDON HOSPICE,4884332,13068553,12664877
1181392,THE BAPTIST UNION OF GREAT BRITAIN,4867000,8421000,8442000
1160256,READ FOUNDATION,4865403,4888666,3793040
288622,THE REHABILITATION TRUST,4851903,4851903,4815304
296058,STARLIGHT CHILDREN'S FOUNDATION,4845294,4862910,5999884
1124927,UK CARE FOR CHILDREN,4844179,4852716,1529108
212563,BARTS AND THE LONDON CHARITY AND RELATED CHARITIES,4840000,19775000,32238000
503717,IRONBRIDGE GORGE MUSEUM TRUST LIMITED,4836870,7263516,6455403
1170168,CLIFTON DIOCESE,4834000,7595000,8813000
1182660,THE P27 TRUST,4824429,4840052,4265862
212808,ROYAL COLLEGE OF SURGEONS OF ENGLAND,4817000,26713000,28961000
1154976,CITY COLLEGE PETERBOROUGH FOUNDATION,4815218,4886973,118533
1163970,JEREMY COLLER FOUNDATION,4814575,4855302,3984041
1157252,THE ONSIDE FOUNDATION,4800000,8175457,10113216
1067125,JULIA'S HOUSE LIMITED,4788413,10058107,7125785
1052061,ESSEX COMMUNITY FOUNDATION,4776082,6344640,5742450
313013,THE MARINE SOCIETY AND SEA CADETS,4775000,17774000,17324000
506276,CITY OF BIRMINGHAM SYMPHONY ORCHESTRA,4769000,10451000,10898000
234331,LANCASTER ROMAN CATHOLIC DIOCESAN TRUST,4766822,16637391,19284496
1088128,ENVIRONMENTAL JUSTICE FOUNDATION CHARITABLE TRUST,4764351,4791772,2715926
258085,ST ANN'S HOSPICE,4755048,12498231,12754986
1167954,JCD FOUNDATION,4750000,4774245,2227627
1082777,SHINE: SUPPORT AND HELP IN EDUCATION,4747098,4751549,2911783
1127255,THE PRINCE OF WALES'S CHARITABLE FOUNDATION,4744000,13909000,13737000
1165397,NOTTINGHAM UNIVERSITY HOSPITALS CHARITY,4742000,5279000,4924000
1122964,LUTON CULTURAL SERVICES TRUST,4738853,6710068,6866178
1152596,THE BERKELEY CHARITABLE FOUNDATION,4732891,4752390,3412693
1056114,THE ST PETER AND ST JAMES CHARITABLE TRUST,4729616,6233355,5090697
1123385,CHANCE TO SHINE FOUNDATION LTD,4726000,5240000,4124000
280681,ST LUKE'S HOSPICE PLYMOUTH,4722408,13582372,10953711
1185767,BAPTIST BUILDING CIO,4719689,4768870,99221
1092204,THE GREAT NORTH AIR AMBULANCE SERVICE,4714248,8313235,8086125
1163294,KHALSA AID INTERNATIONAL,4703356,4746714,1984747
269177,ST PETER'S HOSPICE,4700000,16687000,16145000
801355,ST GILES TRUST,4683951,15312354,13319546
1108989,ESSEX & HERTS AIR AMBULANCE TRUST,4680895,16590935,11735322
1182652,AMAR-FRANSES AND FOSTER-JENKINS TRUST,4665284,4916874,343851
1177514,THIRTY PERCY FOUNDATION,4664881,4759286,2871504
1133586,OXFORD DIOCESAN BOARD OF EDUCATION,4662000,5428000,4051000
1042125,BIRDLIFE INTERNATIONAL,4660696,26174036,23024652
283686,ST WILFRID'S HOSPICE (EASTBOURNE),4655873,8332304,7886398
299731,Rowans Hospice,4652536,9006967,9630452
248330,THE TRURO DIOCESAN BOARD OF FINANCE LIMITED,4643928,6972217,7414063
1067314,OCCA House,4627187,4791618,4325440
1004005,MARINE CONSERVATION SOCIETY,4617398,5219017,3611045
1184963,TIM FRESHWATER TRUST,4605500,4624151,37801
292559,THEATRE DEVELOPMENT TRUST,4604285,5072272,5019190
255685,FRIENDS OF WIZNITZ LIMITED,4600488,4695920,5554345
256979,POLKA CHILDREN'S THEATRE LIMITED,4594788,4673123,991664
1053988,CLIENTEARTH,4583332,20790707,16850235
1156305,ST. MARTIN-IN-THE-FIELDS CHARITY,4580828,4868694,3728176
207812,ELIZABETH FINN CARE,4578000,35818000,33876000
1136870,THE CIVIL SERVICE BENEVOLENT FUND,4557000,5325000,8192000
281362,ST CATHERINE'S HOSPICE LIMITED,4551000,12502000,11906000
1176160,THE LITTLE PRINCESS TRUST,4544551,4755507,4006616
1183641,THE JIM RATCLIFFE FOUNDATION,4541636,4541636,8127508
246639,WORSHIPFUL COMPANY OF FOUNDERS SEXCENTENARY APPEAL FUND,4515027,4520264,29964
1175106,THE PLAISTER CHARITABLE FOUNDATION,4498210,4643726,141459
1128255,CAN MEZZANINE,4495693,4688694,4096109
1143272,SHAARE ZEDEK UK,4492241,4509957,4549373
208944,KING EDWARD VII'S HOSPITAL SISTER AGNES,4489000,34711000,33208000
249685,THE HEREFORD DIOCESAN BOARD OF FINANCE,4479144,5739807,6475839
1056453,PEOPLE FOR THE ETHICAL TREATMENT OF ANIMALS (PETA) FOUNDATION,4476809,4504002,4272641
1123613,THE MISSION TO SEAFARERS,4476000,5803000,5218000
516287,THE MYTON HOSPICES,4467873,11915880,11965621
204330,"BERKSHIRE, BUCKINGHAMSHIRE AND OXFORDSHIRE WILDLIFE TRUST",4442000,5659000,5686000
1147855,THE UNIVERSITY OF SHEFFIELD UNION OF STUDENTS,4441615,10002095,10372268
275745,DOROTHY HOUSE,4441312,13666041,14328429
1060458,WALES MILLENNIUM CENTRE,4439000,22426000,23887000
1011102,FAUNA & FLORA INTERNATIONAL,4434249,26469119,24042918
1147327,THE CALNE FOUNDATION TRUST,4410389,4425055,3789756
1111719,Anglo American Foundation,4406792,4420490,4365414
309482,ST MARY'S SCHOOL (CALNE),4400998,19552415,14845270
1118492,AL MUSTAFA WELFARE TRUST INTERNATIONAL LTD,4388863,4389021,3245018
281371,THE BAIS ROCHEL DSATMAR CHARITABLE TRUST,4388491,4647266,4009667
1170815,MENTAL HEALTH UK,4387545,4589788,4280188
802872,THE MOVEMENT FOR NON-MOBILE CHILDREN (WHIZZ-KIDZ),4387000,6919000,6544000
1066806,MARINE STEWARDSHIP COUNCIL,4384000,29466000,26913000
1132411,LOCALGIVING FOUNDATION,4382753,4695303,4821753
1021367,Air Ambulance Charity Kent Surrey Sussex,4374171,16268615,15427191
803680,CANINE PARTNERS FOR INDEPENDENCE,4369458,4400434,3285284
1039086,EARL MOUNTBATTEN HOSPICE,4354587,15089402,14581009
327421,ARTICLE 19,4350911,11839165,10214452
1068303,HASMONEAN HIGH SCHOOL CHARITABLE TRUST,4340512,4340623,3788246
299509,THE NATIONAL GALLERY TRUST,4333117,14322519,23966120
1187179,THE SIR BERNARD & LADY SCHREIER FOUNDATION,4330432,4339160,120483
517919,MARTIN HOUSE,4328658,8833171,8174215
1030884,WILDFOWL AND WETLANDS TRUST,4328000,25696000,26853000
1184159,NNS FOUNDATION,4327419,4327950,4108997
269721,THE COTSWOLD CANALS TRUST,4324927,4627416,2156889
1100417,HAMPSHIRE AND THE ISLE OF WIGHT COMMUNITY FOUNDATION,4318971,4750435,2662979
1160901,TRANSPORT BENEVOLENT FUND (CIO),4317000,4434000,4691000
305962,THE ARMY CADET FORCE ASSOCIATION,4302015,4440625,4322556
219763,SIM INTERNATIONAL (UK),4298878,4352079,4294951
1003859,HOPE HOUSE CHILDREN'S HOSPICES,4297681,10240500,8420496
279473,ST MARGARET'S SOMERSET HOSPICE,4288566,13443041,13801232
1084958,DEBRA,4283261,11412897,13783428
802145,THE MARTLETS HOSPICE LIMITED,4273156,11166050,11225096
509014,ST GILES HOSPICE,4263968,13829709,14554416
511179,ST MICHAEL'S HOSPICE (INCORPORATING THE FREDA PEARCE FOUNDATION),4262184,9930651,8467587
1002059,ROTARY FOUNDATION OF THE UNITED KINGDOM,4258918,4261534,4259685
528066,THE UNIVERSITY OF NEWCASTLE UPON TYNE DEVELOPMENT TRUST,4256933,4259557,2232284
1056804,LEICESTER HOSPITALS CHARITY,4255195,4678878,2211478
281963,ST WILFRID'S HOSPICE (SOUTH COAST) LIMITED,4250837,7801218,7839478
1155029,KEREN HATZOLAS DOROS ALEI SIACH,4247633,4247633,4260073
1089685,CAMPAIGN TO PROTECT RURAL ENGLAND,4243000,4352000,5145000
1069204,SOS CHILDREN'S VILLAGES UK,4242490,4265006,4957943
230538,THE ROYAL LIVERPOOL PHILHARMONIC SOCIETY,4238000,10215000,11618000
1083995,METHODIST HOMES,4219000,251238000,236164000
1170855,ONE AGAINST POVERTY (UK),4213352,4213352,4255161
503386,ST OSWALD'S HOSPICE LIMITED,4209929,14691061,13735143
287287,THE CENTRE FOR ECONOMIC POLICY RESEARCH,4201853,4572176,3858188
1145887,BACKSTAGE TRUST,4195873,4204318,3749622
1141831,THE MARE AND FOAL SANCTUARY,4192803,4641852,5103911
270726,THE SWIRE CHARITABLE TRUST,4189126,5085130,4257381
1075920,THE INDIGO TRUST,4187500,4399659,4183314
1001198,THE MACULAR DISEASE SOCIETY,4182000,5401000,5267000
1181267,THE HYGIENE BANK,4170014,4170014,3967006
1164682,THE STONE FAMILY FOUNDATION,4169978,4536840,9062351
326340,THE MERCERS CHARITABLE FOUNDATION,4169000,4459000,6292000
1169897,CWPLUS,4167000,4825000,9777000
1123122,LONDON TRANSPORT MUSEUM LIMITED,4158000,15951000,16064000
288018,THE CHILDREN'S TRUST,4149000,25677000,26371000
1137492,THE COLLEGE OR HALL OF VALENCE MARY COMMONLY PEMBROKE COLLEGE IN THE UNIVERSITY OF CAMBRIDGE,4148000,17589000,17389000
247919,INTERNATIONAL FELLOWSHIP OF EVANGELICAL STUDENTS,4139237,4397866,4180709
1159815,PRINCE'S TRUST INTERNATIONAL,4126580,4160094,3069979
326550,SUSTRANS,4114000,63498000,63436000
210729,THE ROYAL UNITED KINGDOM BENEFICENT ASSOCIATION,4113000,8685000,16562000
1179136,THE AGA KHAN UNIVERSITY (INTERNATIONAL) IN THE UNITED KINGDOM,4103979,4260093,4600706
289154,ST ELIZABETH HOSPICE (SUFFOLK),4100618,13043715,12906014
1142122,The Countryside Regeneration Trust,4095432,4428709,1240805
1120148,THE GOLDMAN SACHS CHARITABLE GIFT FUND (UK),4086639,4206619,2081644
1150056,DKMS FOUNDATION,4079333,8921145,9267212
298555,ST LUKE'S HOSPICE (HARROW AND BRENT) LTD,4077000,9590000,7681000
1137163,CARDIFF UNIVERSITY STUDENTS' UNION,4074397,10280850,10823403
276441,RACHEL CHARITABLE TRUST,4069933,5861904,7630630
1084189,BRITISH LIMBLESS EX-SERVICE MEN'S ASSOCIATION (BLESMA),4063286,4757649,5231681
306137,UNIVERSITIES & COLLEGES CHRISTIAN FELLOWSHIP,4062818,4504137,4455660
1103565,NOBLE TREE FOUNDATION LIMITED,4058729,4244274,526505
1088614,JESUS HOUSE FOR ALL NATIONS,4036163,4411685,4072953
803655,SANTANDER UK FOUNDATION LIMITED,4035000,4386610,3452418
1137209,BLUE MARINE FOUNDATION,4033518,4046455,3620842
1014051,COPE CHILDRENS TRUST,4029983,6750969,6587864
1116530,LIVABILITY,4028000,44276000,47024000
1070906,THE BORN FREE FOUNDATION,4027817,5307569,6208748
1016968,YOUNG MINDS TRUST,4019589,5500639,5427092
309998,TRINITY LABAN CONSERVATOIRE OF MUSIC AND DANCE,4009826,22725654,24301444
512394,SEVERN HOSPICE LIMITED,4007136,12907260,12328493
1131790,INSTITUTE FOR HUMAN RIGHTS & BUSINESS LIMITED,4006650,4064414,2825639
1127046,THE CROSS TRUST,4000106,4002043,1224291
1159480,ONEBILLION LEARNERS,3975644,4307168,540857
1132882,"THE PAROCHIAL CHURCH COUNCIL OF THE ECCLESIASTICAL PARISH OF ALL SOULS, LANGHAM PLACE, LONDON",3958933,4382372,3038152
1158707,HOME FOR GOOD,3955244,4190201,1364766
1087870,CMZ LTD,3940351,3940365,3780162
214364,THE ROYAL BALLET SCHOOL,3939000,12359000,11971000
1101485,WELLINGBOROUGH SCHOOL,3933338,15336497,12453969
1186994,THE STONYHURST FOUNDATION,3931737,3932160,425380
1135056,CLARION FUTURES,3931000,6914000,16403000
1084042,RACING WELFARE,3914974,5355738,3703672
313697,YOUNG ENTERPRISE,3897504,4839461,4813965
1142701,"THE COLLEGE OF SAINT MARY OF WINCHESTER IN OXFORD, COMMONLY CALLED NEW COLLEGE",3896000,16964000,16613000
277424,REFUGE,3895809,17562105,18102554
271519,KISHARON,3894413,8620586,8377781
1078968,AMABRILL LTD,3892501,3892581,4477150
1137536,GONVILLE AND CAIUS COLLEGE IN THE UNIVERSITY OF CAMBRIDGE FOUNDED IN HONOUR OF THE ANNUNCIATION OF THE BLESSED MARY THE VIRGIN,3881516,17145908,16468754
1056651,MISSIO,3879305,4010823,5081379
1081384,CHAIN OF HOPE,3875755,4263092,4835517
1040419,CHILD BEREAVEMENT UK,3871624,4922949,3917661
1167663,DOGS TRUST WORLDWIDE,3836290,3849840,3906609
1067653,MONMOUTH DIOCESAN BOARD OF FINANCE,3829763,4052623,3901931
298582,THE TERESA ROSENBAUM GOLDEN CHARITABLE TRUST,3829582,4803037,6403906
261383,Britten Pears Arts,3828000,12641000,11949000
1066184,THE WORDSWORTH TRUST,3826866,4256186,1651972
803029,THE HAWORTH CHARITABLE TRUST,3826331,3880418,155323
312612,THE WHITGIFT FOUNDATION,3826035,67747754,71513079
1117431,THE UNIVERSITY OF CHICAGO FOUNDATION LIMITED,3819437,3819448,3715344
1051909,BROWN UNIVERSITY CHARITABLE TRUST,3813735,3813735,3818992
1180678,STEWARDSHIP AMERICAN DONOR FUND UK LIMITED,3812000,3822000,20181000
1118277,INTERNATIONAL ANIMAL RESCUE,3805875,3897576,3829705
1013945,ROYAL TRINITY HOSPICE,3801137,15275222,16129435
210063,ROYAL BRITISH LEGION INDUSTRIES LTD.,3801000,19478000,19235000
250277,PHILHARMONIA LTD,3794060,9731270,10396192
1068661,THE CONGREGATION OF THE DAUGHTERS OF THE CROSS OF LIEGE,3772000,16661000,17141000
1118102,FOUR PAWS,3768272,3768272,3415508
1153809,LA FONDATION DES SAVANES OUEST-AFRICAINES,3767516,4329348,3726996
1151993,TIKVA UK,3765815,3765815,3760466
219946,UFM WORLDWIDE,3764798,3829177,3668924
1077106,THE ANNA FREUD CENTRE,3758874,16215298,16586927
1080837,THE PERFORMING RIGHT SOCIETY FOUNDATION,3753341,3911558,3881629
1002878,PEACE HOSPICE CARE,3752062,6923779,5014243
1150733,"SUNDERLAND MUSIC, ARTS & CULTURE TRUST",3738981,3742087,224619
1094446,SOMERSET COMMUNITY FOUNDATION,3738156,3926763,2725620
515668,ST RICHARDS HOSPICE FOUNDATION,3736648,9981124,9225953
1178117,QUEENBOROUGH FISHERY TRUST,3722787,3880050,111041
1137512,THE PRINCIPAL AND FELLOWS OF NEWNHAM COLLEGE,3713875,10978236,12307591
1183435,VAISHNAV SANGH OF UK,3700086,3776075,708320
1076329,EMBRACE THE MIDDLE EAST,3692000,4243000,4557000
1090499,"NATIONAL ANIMAL WELFARE TRUST",3679735,4386899,3988726
1081462,BETEL OF BRITAIN,3678314,7395417,4425324
249002,THE INSTITUTE OF ADVANCED MOTORISTS LIMITED,3677000,7339000,7236000
231242,THE ENGLISH STAGE COMPANY LIMITED,3671856,6634962,7930446
1049383,FORWARD IN FAITH MINISTRY U.K.,3670544,3684358,2319592
1139632,THE SCHOOL OF ARTISAN FOOD,3668656,4160022,1146283
1093401,AMANA TRUST,3666418,4118327,2950057
1113226,THE SUSSEX COMMUNITY FOUNDATION,3663405,3968122,3460136
1134979,THE PILGRIMS FRIEND GROUP,3660000,16834000,14349000
258421,AGAPE MINISTRIES LTD,3651531,3670154,3622380
270194,WILLEN HOSPICE,3645255,7085574,6997528
1174460,THE SINCLAIR CHARITY,3639912,4273542,877943
1091316,OPERATION SMILE UNITED KINGDOM,3637482,3765769,3283761
1177272,ARCHDIOCESE OF CARDIFF,3636006,5344886,6248940
1137463,THE MASTER AND FELLOWS OF THE COLLEGE OR HALL OF SAINT CATHARINE THE VIRGIN IN THE UNIVERSITY OF CAMBRIDGE,3628000,15340000,13862000
307892,THE ROYAL SOCIETY FOR BLIND CHILDREN,3628000,4355000,3689000
1104152,THE PETS AT HOME FOUNDATION,3614332,5057987,4605119
1166084,IMPERIAL HEALTH CHARITY,3611838,6291640,9394037
1155374,WENTWORTH WOODHOUSE PRESERVATION TRUST,3610899,4479366,4417337
1136986,THE UNIVERSITY OF NOTTINGHAM STUDENTS' UNION,3603304,9423405,9753733
1084767,REDEEMED CHRISTIAN CHURCH OF GOD,3598313,3685933,3449516
266983,ZURICH COMMUNITY TRUST (UK) LIMITED,3593000,3683000,3936000
287686,KHOJA SHIA ITHNA-ASHRI (SOUTH LONDON) JAMAAT,3587012,3933032,632351
512387,COMPTON CARE GROUP LIMITED,3586914,11240275,12446823
1132286,THE CARE WORKERS CHARITY,3584908,3584908,2638828
1149797,THE EIGHTY EIGHT FOUNDATION,3583750,3935108,885747
1053584,ROYAL BROMPTON AND HAREFIELD HOSPITALS CHARITY,3580000,8048000,7798000
1175809,OXFORD HOSPITALS CHARITY,3580000,3802000,6442000
1078956,CHAI-LIFELINE CANCER CARE,3576530,3603144,3483997
1047501,ACTION AGAINST HUNGER,3573871,50790601,51268726
282857,BATTERSEA ARTS CENTRE,3572523,5732421,6401434
1136894,WARWICK STUDENTS' UNION,3571412,7968369,10846733
1076251,BALTIC FLOUR MILLS VISUAL ARTS TRUST,3568661,5487443,5303017
1171995,SWIRE CHINESE LANGUAGE FOUNDATION,3567238,3597997,2642622
1165716,UNIVERSITY HOSPITALS BIRMINGHAM CHARITY,3566000,5279000,5106000
249810,SWANSEA AND BRECON DIOCESAN BOARD OF FINANCE,3564094,3769597,3654945
1134566,ISLAMIC EDUCATION AND RESEARCH ACADEMY (IERA),3563339,3563339,2804229
1144022,TOGETHER FOR SHORT LIVES,3553012,4391063,3099288
1112023,THE GAME AND WILDLIFE CONSERVATION TRUST,3550716,7728643,7123764
1160875,BIRMINGHAM WOMEN'S AND CHILDREN'S HOSPITAL CHARITY,3548000,5533000,5129000
1000412,THE WILDLIFE TRUST FOR BEDFORDSHIRE CAMBRIDGESHIRE NORTHAMPTONSHIRE,3541631,6765990,5232334
1137428,ST JOHN'S COLLEGE CAMBRIDGE,3532000,38460000,45754000
1136742,LEEDS UNIVERSITY UNION,3527568,11216852,11511540
1164474,Crosslinks,3526837,3596115,3594785
213251,LEPRA,3526633,5312145,4648354
1153187,FRIENDS OF BEIS CHINUCH LEBONOS TRUST,3526272,3526272,3470981
247186,THE LONDON CITY MISSION,3512976,5837829,9877857
1119423,THE POLISH CATHOLIC MISSION,3508769,4892674,4143992
1078201,THE CONNECTION AT ST MARTIN-IN-THE-FIELDS,3503443,5213786,5498648
1108278,THE SEVERN TRENT WATER CHARITABLE TRUST FUND,3500000,5765492,5717861
1108296,UNITED UTILITIES TRUST FUND,3500000,3500583,3456044
286554,NORTH DEVON HOSPICE,3494268,7508401,6141568
309486,MARLBOROUGH COLLEGE,3492000,56417000,57931000
1129633,AUDACIOUS CHURCH,3480746,4048185,2519546
1112291,MAYHEIGHTS LIMITED,3474251,4170927,2228055
1079764,PASSAGE 2000,3470080,6501861,6447319
1102249,GRANTSCAPE,3465873,3712423,4414467
527177,REPTON SCHOOL TRUST,3464341,4464319,1807884
1154881,ACTION FOR HUMANITY,3459742,26681356,27632643
1173809,THE BRANSFORD TRUST,3456305,3959096,779621
525761,THE UNITED WORLD COLLEGE OF THE ATLANTIC LIMITED,3455563,14165261,12621356
1020419,MISSING PEOPLE LIMITED,3450593,3716213,3814861
1143797,SYRIA RELIEF,3446512,26648563,27475444
1139841,THE MCLAIN FOUNDATION LIMITED,3437500,3655917,747559
1136151,SOCIAL BUSINESS TRUST,3435477,3449984,3431455
1078685,THE DORSET AND SOMERSET AIR AMBULANCE CHARITY,3429967,8850976,6382495
700636,ASHGATE HOSPICECARE,3426309,10893294,11080121
1152943,THE ZAHA HADID FOUNDATION,3425785,3501896,205944
1119721,MOTHERS2MOTHERS (UK) LIMITED,3423342,3619368,3396828
1137476,CHURCHILL COLLEGE IN THE UNIVERSITY OF CAMBRIDGE,3419000,22446000,21766000
1122356,CHILDREN'S HIV ASSOCIATION LIMITED,3417291,4190652,254248
1165639,COVENTRY CITY OF CULTURE TRUST,3407782,5410382,4075786
1012743,BLETCHLEY PARK TRUST LIMITED,3404729,6069181,6512855
208701,ACTION MEDICAL RESEARCH,3404410,3599750,4694025
326926,BALLET RAMBERT LIMITED,3402110,5046186,5346929
1139320,MIFAL HACHESED VEHATZEDOKOH,3396929,3396929,3422219
1085951,HELEN & DOUGLAS HOUSE,3396000,9730000,8403000
1177866,PEMBROKE COLLEGE SETTLEMENT,3391756,3701624,691420
1015941,ST GEMMA'S HOSPICE,3391642,11633424,11099910
1053814,ST BARNABAS HOSPICE TRUST (LINCOLNSHIRE),3384289,12827112,12709116
1079501,THE ANGEL FOUNDATION,3380869,3831588,3103427
1143103,LONDON SCHOOL OF ECONOMICS STUDENTS' UNION,3377133,5294128,5560594
1140543,Hourglass (Safer Ageing),3375383,3394677,1149401
1134525,BRIDGEPOINT CHARITABLE TRUST,3371801,3372059,2833718
1176550,New Model Institute for Technology and Engineering,3365615,12137265,5704256
1154230,GIRLS NOT BRIDES: THE GLOBAL PARTNERSHIP TO END CHILD MARRIAGE,3360882,3362142,3514743
1156084,EVERYBODY HEALTH & LEISURE,3359880,17595734,18938451
1112084,KOLYOM TRUST LIMITED,3351713,3459187,3489702
1150651,SMALL STEPS SFP,3350697,3379520,587539
1061726,BREAST CANCER HAVEN,3348766,3800063,3968144
1116751,THE ASFARI FOUNDATION,3340917,3704719,3418482
213422,SCRIPTURE UNION,3326000,4870000,5548000
278823,KAHAL CHASSIDIM BOBOV,3325155,3463703,3452140
221594,THE SOCIETY OF ST COLUMBAN FOR FOREIGN MISSIONS,3324350,3474092,2632059
1132786,SYNCHRONICITY EARTH,3324000,3328000,2965000
1068852,HISTORIC ROYAL PALACES,3321608,101813711,101591300
1119600,MALAWI RELIEF FUND UK,3320924,3320924,3011933
1180690,WALSINGHAM TRUST,3317940,4170998,1976679
1079124,THE WORLD CHILDREN'S FUND,3308527,3309871,3288052
1047912,TY HAFAN,3306634,8506379,9392688
268876,THE YOUNG VIC COMPANY,3305786,6774133,7297817
1131941,THE BRIDGE RENEWAL TRUST,3305694,4908272,1907314
1118804,SAVE THE ELEPHANTS,3304396,3304396,2732720
210807,YORKSHIRE WILDLIFE TRUST,3302599,8724886,8162744
296590,THE GREGGS FOUNDATION,3300360,3888667,3630773
1071363,THE STOWE SCHOOL FOUNDATION,3299698,3604068,561729
1169071,LINCS INSPIRE LIMITED,3297569,9570374,9821822
508470,THE GURU NANAK NISHKAM SEWAK JATHA (BIRMINGHAM) UK,3297336,4429958,2471439
1141446,WOLFSON COLLEGE IN THE UNIVERSITY OF OXFORD,3293000,10414000,7667000
313999,UNITED CHURCH SCHOOLS FOUNDATION LTD,3292000,553383000,460647000
297877,BEN - MOTOR AND ALLIED TRADES BENEVOLENT FUND,3291000,20876000,19707000
1137537,ST HILDA'S COLLEGE IN THE UNIVERSITY OF OXFORD,3289000,10935000,8514000
1014705,WHALE AND DOLPHIN CONSERVATION,3281570,4263100,4090136
1139733,SAINT JOHN BAPTIST COLLEGE IN THE UNIVERSITY OF OXFORD,3280000,27167000,33713000
1043992,THE NATIONAL MEMORIAL ARBORETUM COMPANY LIMITED,3278531,3848932,3782063
1148763,TEACH FOR ALL NETWORK,3277751,3278172,3253888
1135601,Solving Kids' Cancer UK,3277381,3536026,2557610
327899,THE FIDELITY UK FOUNDATION,3275588,9589688,9733256
1002832,WESSEX CHILDREN'S HOSPICE TRUST,3273767,7516015,8300475
